2026 OFF-SEASON RANKINGS,,,,*** VALUE SCALES WITHIN TIERS ***,LEGEND
Rank,Player,Position,Team,Recent Movement,Asset Valuations are quantified in terms of their draft pick value:
VALUE = 2.5-3 BASE 1s,,,,MOVEMENT = SINCE Pre FA Update,"""Base Pick"" = a draft pick equally likely to be in any of the 12 slots, valued to convey in year n + 1"
1,Josh Allen,QB,BUF,Down 1 Tier (Deleted 3+ 1s Tier),Rookie
2,Drake Maye,QB,NE,Down 1 Tier (Deleted 3+ 1s Tier),Sophomore
3,Jaxon Smith-Njigba,WR,SEA,,
4,Ja'Marr Chase,WR,CIN,,
5,Bijan Robinson,RB,ATL,,
6,Jahmyr Gibbs,RB,DET,,
7,Puka Nacua,WR,LAR,,
VALUE = 2-2.5 BASE 1s,,,,,
8,Jayden Daniels,QB,WAS,,
9,Malik Nabers,WR,NYG,,
10,Trey McBride,TE,ARI,,
11,Ashton Jeanty,RB,LVR,,
12,Caleb Williams,QB,CHI,,
13,Lamar Jackson,QB,BAL,,
14,2026 ROOKIE 1.01,,,Up 1 Tier ,
15,Brock Bowers,TE,LVR,,
HALF-TIER ,,,,,
16,Joe Burrow,QB,CIN,,
17,Justin Jefferson,WR,MIN,Up 1 Tier,
18,CeeDee Lamb,WR,DAL,,
19,Amon-Ra St. Brown,WR,DET,,
20,Drake London,WR,ATL,,
21,Patrick Mahomes,QB,KC,,
22,Jalen Hurts,QB,PHI,,
23,Justin Herbert,QB,LAC,,
24,Tetairoa McMillan,WR,CAR,,
25,Coltson Loveland,TE,CHI,,
VALUE = 1.5-2 BASE 1s,,,,,
26,Omarion Hampton,RB,LAC,,
27,Chris Olave,WR,NO,,
28,Garrett Wilson,WR,NYJ,,
29,Nico Collins,WR,HOU,,
30,2026 ROOKIE 1.02,,,,
31,Jonathan Taylor,RB,IND,,
32,Luther Burden III,WR,CHI,,
33,George Pickens,WR,DAL,,
34,Jaxson Dart,QB,NYG,,
35,De'Von Achane,RB,MIA,,
VALUE = 1.25 BASE 1s (+/-),,,,,
36,Jordan Love,QB,GB,,
37,James Cook,RB,BUF,,
38,2026 ROOKIE 1.03,,,,
39,Kenneth Walker,RB,KC,Up 1 Tier,
40,2026 ROOKIE 1.04,,,,
41,Christian McCaffrey,RB,SF,,
42,Trevor Lawrence,QB,JAX,,
43,Tyler Warren,TE,IND,Up 1 Tier,
44,Brock Purdy,QB,SF,,
45,2026 ROOKIE 1.05,,,,
VALUE = 1 BASE 1 (+/-),,,,,
46,Breece Hall,RB,NYJ,,
47,TreVeyon Henderson,RB,NE,,
48,Quinshon Judkins,RB,CLE,,
49,Emeka Egbuka,WR,TB,,
50,Zay Flowers,WR,BAL,,
51,Rashee Rice,WR,KC,,
52,Jameson Williams,WR,DET,,
53,Tee Higgins,WR,CIN,,
54,Tucker Kraft,TE,GB,,
HALF TIER,,,,,
55,Dak Prescott,QB,DAL,,
56,Rome Odunze,WR,CHI,,
57,Bo Nix,QB,DEN,,
58,Chase Brown,RB,CIN,Up 1 Tier,
59,Cam Ward,QB,TEN,,
60,Harold Fannin Jr.,TE,CLE,,
61,DeVonta Smith,WR,PHI,Up 1 Tier,
"VALUE = ""LATE"" 1 (+/-) // 0.75 BASE 1s (+/-)",,,,,
62,2026 ROOKIE 1.06,,,,
63,Saquon Barkley,RB,PHI,,
64,A.J. Brown,WR,PHI,,
65,Cam Skattebo,RB,NYG,,
66,Ladd McConkey,WR,LAC,,
67,Bucky Irving,RB,TB,,
68,Jared Goff,QB,DET,,
69,Baker Mayfield,QB,TB,,
70,Brian Thomas Jr.,WR,JAX,,
71,Marvin Harrison Jr.,WR,AZ,,
72,Tyler Shough,QB,NO,,
HALF TIER,,,,,
73,2026 ROOKIE 1.07,,,,
74,Sam LaPorta,TE,DET,,
75,Josh Jacobs,RB,GB,,
76,Jaylen Waddle,WR,MIA,,
77,Travis Etienne Jr.,RB,NO,,
78,2026 ROOKIE 1.08,,,,
79,Bhayshul Tuten,RB,JAX,,
80,Kyler Murray,QB,ARI,,
81,Kyren Williams,RB,LAR,,
82,Sam Darnold,QB,SEA,,
83,Malik Willis,QB,MIA,,
84,2026 ROOKIE 1.09,,,,
"VALUE = ""EARLY"" 2 (+/-) // 0.5 BASE 1s (+/-)",,,,,
85,Jordan Addison,WR,MIN,,
86,Javonte Williams,RB,DAL,,
87,Oronde Gadsden II,TE,LAC,,
88,2026 ROOKIE 1.10,,,,
89,Derrick Henry,RB,BAL,,
90,Travis Hunter,WR,JAX,,
91,RJ Harvey,RB,DEN,,
92,Ricky Pearsall,WR,SF,,
93,C.J. Stroud,QB,HOU,,
94,2026 ROOKIE 1.11,,,,
95,Kyle Pitts,TE,ATL,Uop 1 Tier,
96,2026 ROOKIE 1.12,,,,
97,Daniel Jones,QB,IND,Up 1 Tier,
98,2026 ROOKIE 2.01,,,,
"VALUE = ""BASE"" 2 // 0.33 BASE 1s (+/-)",,,,,
99,DK Metcalf,WR,PIT,,
100,David Montgomery,RB,HOU,Up 2 Tiers,
101,DJ Moore,WR,BUF,Up 1 Tier,
102,Bryce Young,QB,CAR,,
103,2026 ROOKIE  2.02,,,,
104,Davante Adams,WR,LAR,,
105,Mike Evans,WR,SF,Up 1 Tier,
106,Matthew Stafford,QB,LAR,,
107,2026 ROOKIE 2.03,,,,
108,D'Andre Swift,RB,CHI,,
109,Jayden Reed,WR,GB,,
110,Christian Watson,WR,GB,,
111,Alec Pierce,WR,IND,,
112,Parker Washington,WR,JAX,,
113,2026 ROOKIE 2.04,,,,
114,Michael Pittman Jr.,WR,PIT,,
115,Dalton Kincaid,TE,BUF,,
116,Rhamondre Stevenson,RB,NE,,
117,Wan'Dale Robinson,WR,TEN,Up 1 Tier,
118,Michael Wilson,WR,AZ,,
119,Jayden Higgins,WR,HOU,,
120,Matthew Golden,WR,GB,Up 1 Tier,
121,Quentin Johnston,WR,LAC,,
"VALUE = ""LATE"" 2 (+/-)",,,,,
122,Josh Downs,WR,IND,,
123,George Kittle,TE,SF,Up 1 Tier,
124,2026 ROOKIE 2.05,,,,
